# task_type, task_subtype, depth, count
sort none 0 16
self density 0 16
self force 0 16
self grav 0 16
pair density 0 48
pair density 1 54
pair density 2 4
pair density 3 10
pair force 0 48
pair force 1 54
pair force 2 4
pair force 3 10
pair grav 0 80
init_grav none 0 16
init_grav_out none 0 16
ghost_in none 0 16
ghost none 0 4
ghost none 1 17
ghost none 2 70
ghost none 3 400
ghost_out none 0 16
drift_part none 0 16
drift_gpart none 0 16
drift_gpart_out none 0 16
hydro_end_force none 0 16
kick1 none 0 16
kick2 none 0 16
timestep none 0 16
collect none 0 16
grav_long_range none 0 16
grav_down_in none 0 16
grav_down none 0 16
grav_end_force none 0 16
