# task_type, task_subtype, depth, count
sort none 0 8
self density 0 8
self force 0 8
self grav 0 8
pair density 0 24
pair density 3 4
pair force 0 24
pair force 3 4
pair grav 0 28
init_grav none 0 8
init_grav_out none 0 8
ghost_in none 0 8
ghost none 1 24
ghost none 2 64
ghost_out none 0 8
drift_part none 0 8
drift_gpart none 0 8
drift_gpart_out none 0 8
hydro_end_force none 0 8
kick1 none 0 8
kick2 none 0 8
timestep none 0 8
collect none 0 8
grav_long_range none 0 8
grav_down_in none 0 8
grav_down none 0 8
grav_end_force none 0 8
