# task_type, task_subtype, depth, count
sort none 0 10
self density 0 10
self force 0 10
self grav 0 10
pair density 0 31
pair density 1 2
pair density 3 4
pair force 0 31
pair force 1 2
pair force 3 4
pair grav 0 45
init_grav none 0 10
init_grav_out none 0 10
ghost_in none 0 10
ghost none 1 18
ghost none 2 98
ghost none 3 320
ghost_out none 0 10
drift_part none 0 10
drift_gpart none 0 10
drift_gpart_out none 0 10
hydro_end_force none 0 10
kick1 none 0 10
kick2 none 0 10
timestep none 0 10
collect none 0 10
grav_long_range none 0 10
grav_down_in none 0 10
grav_down none 0 10
grav_end_force none 0 10
