# task_type, task_subtype, depth, count
sort none 0 12
self density 0 12
self force 0 12
self grav 0 12
pair density 0 38
pair density 1 12
pair density 2 54
pair density 3 4
pair density 4 10
pair force 0 38
pair force 1 12
pair force 2 54
pair force 3 4
pair force 4 10
pair grav 0 28
pair grav 1 24
init_grav none 0 12
init_grav_out none 0 12
init_grav_out none 1 4
ghost_in none 0 12
ghost none 1 4
ghost none 2 17
ghost none 3 70
ghost none 4 400
ghost_out none 0 12
drift_part none 0 12
drift_gpart none 0 12
drift_gpart_out none 0 12
drift_gpart_out none 1 4
hydro_end_force none 0 12
kick1 none 0 12
kick2 none 0 12
timestep none 0 12
collect none 0 12
grav_long_range none 0 12
grav_down_in none 0 12
grav_down_in none 1 4
grav_down none 0 12
grav_end_force none 0 12
